Cno	Cname	no	Cca	Chour	Ccredit	Cteacher	Cteacher_2	Cweek	Cday	Ctime	Cweek_2	Cday_2	Ctime_2
99A0008	电影大师研究	1	150	32	2	刘大宇		4-13周	3	第9-11节	第14周	3	第9-10节
99A0011	音乐赏析	1	50	32	2	郑萍		4-13周	5	第9-11节	第14周	5	第9-10节
99A0028	电影作品解读	1	90	32	2	王黑特		4-11周	7	第5-8节			
99A0046	中国电视剧发展史	1	50	32	2	吴素玲		4-13周	3	第9-11节	第14周	3	第9-10节
99A0058	音乐文化与鉴赏	1	150	32	2	刘晓飞		4-13周	1	第9-11节	第14周	1	第9-10节
99A0071	影视文学创作与欣赏	1	80	32	2	胡黎红		4-13周	3	第9-11节	第14周	3	第9-10节
99A0072	中国当代艺术二十年	1	80	32	2	谢春		4-13周	1	第9-11节	第14周	1	第9-10节
99A0080	俄罗斯艺术文化与戏剧影视赏析	1	100	32	2	刘秀文		4-13周	4	第9-11节	第14周	4	第9-10节
99A0083	类型电影大师研究	1	50	32	2	陆嘉宁		4-13周	2	第9-11节	第14周	2	第9-10节
99A0085	传媒音乐文化	1	120	32	2	韦杰		4-11周	6	第5-8节			
99A0087	舞蹈欣赏	1	50	32	2	林婷		4-13周	1	第9-11节	第14周	1	第9-10节
99A0093	服装学概论	1	50	32	2	李楠		4-11周	6	第1-4节			
99A0095	影视画面造型艺术赏析	1	60	32	2	孙泽华		4-13周	3	第9-11节	第14周	3	第9-10节
99A0097	电影评论：实践与赏析	1	50	32	2	李春		4-13周	3	第9-11节	第14周	3	第9-10节
99A0099	金庸小说与金庸影视剧改编	1	60	32	2	马潇		4-13周	1	第9-11节	第14周	1	第9-10节
99A0100	美国独立电影作品赏析	1	70	32	2	王茵		4-13周	2	第9-11节	第14周	2	第9-10节
99A0108	流行音乐演唱实践指导与理论讲解	1	50	32	2	王韡		4-13周	1	第9-11节	第14周	1	第9-10节
99A0110	影视艺术与女性研究	1	150	32	2	孙百卉		4-13周	3	第9-11节	第14周	3	第9-10节
99A0112	电影与审美文化	1	60	32	2	陈思勤		4-13周	2	第9-11节	第14周	2	第9-10节
99A0113	影像叙事	1	151	32	2	韩佳政		4-11周	6	第5-8节			
99A0123	印度影视文化	1	80	32	2	张文娟		4-13周	3	第9-11节	第14周	3	第9-10节
99A0124	歌曲创作	1	50	32	2	付龙		4-13周	4	第9-11节	第14周	4	第9-10节
99A0126	影视音乐作品赏析	1	50	32	2	刘洋		4-11周	7	第5-8节			
99A0128	设计思维创新与实践	1	150	16	1	税琳琳	姜浩 王可越	4-13周	4	第9-11节	第14周	4	第9-10节
99A0130	歌剧舞剧赏析	1	50	32	2	冯亚		4-13周	4	第9-11节	第14周	4	第9-10节
99A0131	拉丁美洲电影作品赏析	1	108	32	2	付晓红		4-13周	1	第9-11节	第14周	1	第9-10节
9.90E+08	财务分析	1	50	32	2	王苏		4-13周	2	第9-11节	第14周	2	第9-10节
9.90E+10	会计学	1	53	32	2	刘钰		4-13周	1	第9-11节	第14周	1	第9-10节
9.90E+13	信息资源管理	1	50	32	2	黄锐		4-13周	3	第9-11节	第14周	3	第9-10节
9.90E+18	证券投资	1	80	32	2	胡小莉		4-13周	1	第9-11节	第14周	1	第9-10节
9.90E+24	财务管理	1	55	32	2	张颖丽		4-13周	2	第9-11节	第14周	2	第9-10节
9.90E+28	国际金融	1	50	32	2	方英		4-13周	2	第9-11节	第14周	2	第9-10节
9.90E+32	新制度经济学	1	50	32	2	仇喜雪		4-13周	2	第9-11节	第14周	2	第9-10节
9.90E+34	管理沟通	1	50	32	2	张红		4-13周	2	第9-11节	第14周	2	第9-10节
9.90E+35	证券投资技术分析	1	80	32	2	韩然		4-13周	1	第9-11节	第14周	1	第9-10节
9.90E+40	市场营销管理	1	50	32	2	孟庆顺		4-13周	2	第9-11节	第14周	2	第9-10节
9.90E+43	企业家领导力开发 ------教练的理论与技术	1	70	16	1	曾海波		4-7周	5	第9-11节	8-9周	5	第9-10节
9.90E+44	创业之创意经济	1	120	16	1	姚林青		4-7周	2	第9-11节	8-9周	2	第9-10节
9.90E+46	创业财务筹划	1	120	32	2	赵桂英		4-13周	1	第9-11节	第14周	1	第9-10节
9.90E+47	创业学	1	50	16	1	刘长迎		4-7周	6	第1-4节			
9.90E+50	媒介营销管理	1	50	32	2	谢丹		4-13周	2	第9-11节	第14周	2	第9-10节
9.90E+54	商业模式设计	1	50	16	1	窦毓磊		4-7周	3	第9-11节	8-9周	3	第9-10节
9.90E+56	文化创意产品策划	1	130	32	2	谢伦灿		4-11周	7	第5-8节			
9.90E+57	领导力	1	100	32	2	薛永斌		4-13周	2	第9-11节	第14周	2	第9-10节
9.90E+58	创意营造学	1	60	32	2	卜希霆		4-11周	6	第5-8节			
99H0014	中西社会思想比较专题	1	50	32	2	邹千江		4-13周	2	第9-11节	第14周	2	第9-10节
99H0021	中国古代历史文化专题讲座	1	50	32	2	赵永如		4-13周	4	第9-11节	第14周	4	第9-10节
